,famrel,absences,finalgrade,weeklyAlcohol,no_famsup,famsup,no_paid,paid
484,4,6,10,4.0,0,1,1,0
485,4,2,11,2.0,0,1,1,0
486,4,6,13,2.0,1,0,1,0
487,3,0,12,2.5,0,1,1,0
488,5,2,14,1.0,0,1,1,0
489,4,2,12,1.0,0,1,1,0
490,3,4,13,1.0,0,1,0,1
491,3,6,11,1.0,0,1,0,1
492,4,0,12,1.0,0,1,1,0
493,5,4,13,1.5,1,0,1,0
494,5,2,13,1.0,0,1,1,0
495,4,12,8,5.0,0,1,1,0
496,4,0,16,1.0,0,1,1,0
497,5,2,12,1.0,0,1,0,1
498,4,16,10,1.0,0,1,1,0
499,5,0,16,1.0,0,1,1,0
500,4,10,10,1.0,1,0,1,0
501,5,4,10,1.0,0,1,1,0
502,5,4,14,1.0,0,1,1,0
503,1,8,11,4.0,0,1,1,0
504,5,2,14,1.0,0,1,1,0
505,5,4,14,1.0,1,0,1,0
506,4,4,11,1.0,0,1,1,0
507,3,12,10,1.0,1,0,1,0
508,3,10,18,1.0,1,0,1,0
509,5,4,10,1.0,1,0,1,0
510,5,6,14,1.5,0,1,1,0
511,4,4,16,1.0,0,1,1,0
512,5,6,15,1.0,1,0,1,0
513,5,14,11,2.5,0,1,1,0
514,3,2,14,1.5,1,0,1,0
515,3,0,14,1.5,1,0,1,0
516,5,6,13,1.5,0,1,1,0
517,4,2,13,1.5,0,1,1,0
518,3,4,13,2.5,0,1,1,0
519,5,0,11,1.0,1,0,1,0
520,5,2,9,2.5,1,0,1,0
521,5,0,11,1.0,1,0,1,0
522,3,0,11,1.0,0,1,1,0
523,3,8,15,3.5,1,0,1,0
524,3,4,13,2.0,0,1,1,0
525,4,0,12,2.0,0,1,1,0
526,5,10,8,2.0,0,1,1,0
527,3,8,11,1.5,0,1,1,0
528,4,6,13,1.5,0,1,1,0
529,3,2,12,2.0,0,1,1,0
530,3,12,14,2.5,1,0,1,0
531,3,4,11,1.0,1,0,1,0
532,5,12,11,1.0,1,0,1,0
533,5,2,11,1.0,0,1,1,0
534,4,4,15,1.0,0,1,1,0
535,5,2,10,3.0,1,0,1,0
536,5,0,13,1.0,0,1,1,0
537,3,2,12,4.5,1,0,1,0
538,4,10,11,3.0,0,1,1,0
539,3,8,11,1.5,0,1,1,0
540,4,4,10,1.0,0,1,1,0
541,4,0,10,2.0,1,0,1,0
542,4,6,14,1.0,1,0,1,0
543,5,2,9,1.0,1,0,1,0
544,2,6,11,1.0,0,1,1,0
545,1,24,9,2.5,1,0,1,0
546,5,0,13,2.0,0,1,1,0
547,2,4,11,2.0,0,1,1,0
548,4,2,13,1.0,0,1,1,0
549,3,4,11,3.0,1,0,1,0
550,5,22,6,1.5,0,1,1,0
551,4,0,12,1.5,0,1,1,0
552,4,0,10,1.0,0,1,1,0
553,3,2,11,1.0,0,1,1,0
554,4,6,13,1.0,0,1,1,0
555,2,6,11,3.0,1,0,1,0
556,3,16,8,1.5,0,1,1,0
557,4,0,11,3.5,1,0,1,0
558,2,0,0,3.5,1,0,1,0
559,4,6,10,4.0,1,0,1,0
560,4,2,13,2.5,0,1,0,1
561,4,6,11,1.0,0,1,1,0
562,4,0,13,1.0,0,1,1,0
563,4,0,8,1.0,1,0,0,1
564,2,14,10,3.0,1,0,1,0
565,5,6,11,3.0,0,1,1,0
566,4,4,11,1.5,1,0,1,0
567,4,0,1,4.0,0,1,1,0
568,4,0,10,4.0,1,0,1,0
569,3,8,9,2.0,1,0,0,1
570,4,4,8,2.5,0,1,1,0
571,4,2,10,3.0,1,0,1,0
572,5,2,8,2.5,1,0,1,0
573,5,0,8,3.0,1,0,1,0
574,4,10,8,1.0,0,1,1,0
575,4,0,11,3.0,1,0,1,0
576,4,0,18,1.0,1,0,1,0
577,5,0,13,1.0,0,1,1,0
578,4,0,17,1.0,0,1,1,0
579,3,4,10,3.0,0,1,1,0
580,4,0,18,1.0,0,1,1,0
581,4,0,10,2.0,0,1,1,0
582,4,0,13,1.0,1,0,1,0
583,4,0,15,1.0,0,1,1,0
584,4,0,11,4.0,1,0,1,0
585,3,0,14,2.5,1,0,1,0
586,4,4,10,2.5,1,0,1,0
587,4,8,11,3.5,0,1,1,0
588,5,4,13,1.0,0,1,0,1
589,3,4,11,2.5,0,1,0,1
590,4,0,13,1.5,1,0,1,0
591,5,0,17,2.5,0,1,1,0
592,5,32,14,2.5,0,1,1,0
593,1,8,16,1.5,0,1,1,0
594,4,6,14,2.5,0,1,1,0
595,3,0,11,1.5,0,1,1,0
596,4,0,16,1.5,1,0,1,0
597,3,10,14,2.0,0,1,1,0
598,3,6,10,3.0,1,0,1,0
599,4,6,13,1.0,1,0,1,0
600,5,0,12,1.0,1,0,1,0
601,4,16,12,4.5,1,0,1,0
602,4,0,10,3.5,0,1,1,0
603,5,0,12,1.0,1,0,1,0
604,4,8,16,1.0,1,0,1,0
605,5,4,14,1.5,1,0,1,0
606,3,16,12,4.0,0,1,1,0
607,4,30,16,2.5,0,1,1,0
608,4,0,11,1.5,0,1,1,0
609,4,2,15,3.0,0,1,1,0
610,4,4,12,2.0,0,1,1,0
611,4,0,15,2.0,0,1,1,0
612,5,21,13,1.5,0,1,1,0
613,5,6,13,1.0,0,1,1,0
614,4,14,8,3.5,0,1,0,1
615,2,2,12,2.0,0,1,1,0
616,1,4,15,1.0,1,0,1,0
617,4,2,13,2.5,0,1,1,0
618,4,0,12,1.0,0,1,1,0
619,4,4,12,1.5,0,1,1,0
620,5,15,12,4.5,0,1,1,0
621,3,0,13,1.0,0,1,1,0
622,4,10,11,3.0,0,1,1,0
623,5,6,11,1.5,0,1,1,0
624,4,2,15,2.0,1,0,1,0
625,3,16,10,3.0,1,0,1,0
626,3,10,10,3.0,0,1,1,0
627,3,4,13,2.5,0,1,1,0
628,4,0,13,1.0,0,1,1,0
629,4,0,11,1.5,0,1,1,0
630,4,12,12,1.0,0,1,1,0
631,2,0,14,1.0,1,0,1,0
632,3,9,10,5.0,0,1,0,1
633,5,4,16,1.0,0,1,1,0
634,5,4,8,1.0,1,0,1,0
635,5,2,17,2.0,1,0,1,0
636,5,0,11,2.0,0,1,1,0
637,4,2,11,4.5,0,1,1,0
638,3,0,16,1.5,1,0,1,0
639,3,0,12,1.5,1,0,1,0
640,4,0,13,1.0,0,1,1,0
641,4,0,13,2.0,0,1,1,0
642,4,0,14,3.0,0,1,1,0
643,3,2,9,1.0,0,1,1,0
644,5,0,12,2.0,1,0,1,0
645,4,0,16,5.0,1,0,1,0
646,4,4,10,1.0,1,0,1,0
647,5,0,13,1.5,1,0,1,0
648,4,18,10,1.0,0,1,1,0
649,5,16,10,1.0,0,1,1,0
650,4,14,7,1.0,1,0,1,0
651,4,26,8,2.0,0,1,1,0
652,4,6,9,1.5,0,1,1,0
653,5,4,15,1.0,1,0,1,0
654,4,10,10,1.5,0,1,1,0
655,5,4,11,1.5,1,0,1,0
656,2,2,13,1.0,1,0,1,0
657,5,14,8,1.0,0,1,1,0
658,5,16,8,4.0,1,0,1,0
659,3,8,10,1.0,0,1,1,0
660,4,4,15,2.0,1,0,1,0
661,4,4,14,1.0,0,1,1,0
662,2,8,15,2.5,1,0,1,0
663,3,0,12,2.5,0,1,1,0
664,5,7,15,1.0,1,0,1,0
665,5,4,15,1.5,1,0,0,1
666,5,2,12,2.5,0,1,0,1
667,4,2,15,1.0,1,0,1,0
668,4,10,11,2.5,0,1,1,0
669,4,10,10,1.0,1,0,1,0
670,4,10,11,1.0,0,1,1,0
671,4,7,16,1.0,1,0,1,0
672,4,4,11,1.5,0,1,1,0
673,5,2,13,1.0,1,0,1,0
674,5,12,5,5.0,1,0,1,0
675,4,8,10,2.0,0,1,1,0
676,4,0,11,3.0,1,0,1,0
677,4,8,7,3.0,1,0,1,0
678,5,4,10,2.0,0,1,1,0
679,3,4,6,3.5,1,0,1,0
680,3,2,12,2.0,1,0,1,0
681,4,0,13,3.0,1,0,1,0
682,4,0,10,1.5,0,1,1,0
683,4,2,13,2.0,0,1,1,0
684,4,2,17,1.0,0,1,1,0
685,4,0,11,1.0,0,1,1,0
686,4,4,11,4.0,1,0,1,0
687,4,2,14,2.0,0,1,1,0
688,4,4,14,2.5,0,1,1,0
689,3,4,13,1.0,1,0,1,0
690,4,4,14,1.0,0,1,1,0
691,5,2,16,1.5,1,0,1,0
692,5,0,10,1.0,1,0,1,0
693,3,2,12,1.0,1,0,1,0
694,1,8,12,1.5,0,1,0,1
